state,STATE,OCC_TITLE,A_MEAN
AL,Alabama,Accountants and Auditors,65960
AK,Alaska,Accountants and Auditors,78480
AZ,Arizona,Accountants and Auditors,64440
AR,Arkansas,Accountants and Auditors,62160
CA,California,Accountants and Auditors,78090
CO,Colorado,Accountants and Auditors,74020
CT,Connecticut,Accountants and Auditors,77020
DE,Delaware,Accountants and Auditors,74280
DC,District of Columbia,Accountants and Auditors,90220
FL,Florida,Accountants and Auditors,68060
GA,Georgia,Accountants and Auditors,76580
HI,Hawaii,Accountants and Auditors,59810
ID,Idaho,Accountants and Auditors,68070
IL,Illinois,Accountants and Auditors,73390
IN,Indiana,Accountants and Auditors,65890
IA,Iowa,Accountants and Auditors,62420
KS,Kansas,Accountants and Auditors,64590
KY,Kentucky,Accountants and Auditors,61970
LA,Louisiana,Accountants and Auditors,62990
ME,Maine,Accountants and Auditors,61530
MD,Maryland,Accountants and Auditors,80360
MA,Massachusetts,Accountants and Auditors,80030
MI,Michigan,Accountants and Auditors,68460
MN,Minnesota,Accountants and Auditors,68660
MS,Mississippi,Accountants and Auditors,56030
MO,Missouri,Accountants and Auditors,69160
MT,Montana,Accountants and Auditors,61100
NE,Nebraska,Accountants and Auditors,65820
NV,Nevada,Accountants and Auditors,63260
NH,New Hampshire,Accountants and Auditors,68250
NJ,New Jersey,Accountants and Auditors,84160
NM,New Mexico,Accountants and Auditors,61880
NY,New York,Accountants and Auditors,89850
NC,North Carolina,Accountants and Auditors,71200
ND,North Dakota,Accountants and Auditors,56230
OH,Ohio,Accountants and Auditors,68360
OK,Oklahoma,Accountants and Auditors,63720
OR,Oregon,Accountants and Auditors,65820
PA,Pennsylvania,Accountants and Auditors,70120
RI,Rhode Island,Accountants and Auditors,77180
SC,South Carolina,Accountants and Auditors,59240
SD,South Dakota,Accountants and Auditors,60000
TN,Tennessee,Accountants and Auditors,65630
TX,Texas,Accountants and Auditors,75210
UT,Utah,Accountants and Auditors,68780
VT,Vermont,Accountants and Auditors,70420
VA,Virginia,Accountants and Auditors,78640
WA,Washington,Accountants and Auditors,72950
WV,West Virginia,Accountants and Auditors,59520
WI,Wisconsin,Accountants and Auditors,67100
WY,Wyoming,Accountants and Auditors,64730
GU,Guam,Accountants and Auditors,39980
PR,Puerto Rico,Accountants and Auditors,36560
VI,Virgin Islands,Accountants and Auditors,46610
